'Tamias obscurus',
'Tamias ochrogenys',
'Tamias palmeri',
'Tamias panamintinus',
'Tamias quadrimaculatus',
'Tamias quadrivittatus',
'Tamias ruficaudus',
'Tamias rufus',
'Tamias senex',
'Tamias sonomae',
'Tamias speciosus',
'Tamias striatus',
'Tamias townsendii',
'Tamias umbrinus',
'Tamiasciurus douglasii',
'Tamiasciurus hudsonicus',
'Urocitellus canus',
'Xerus erythropus',
'Xerus inauris',
'Xerus princeps',
'Xerus rutilus',
'Glis glis',
'Castor canadensis',
'Cratogeomys neglectus',
'Geomys arenarius',
'Geomys attwateri',
'Geomys breviceps',
'Geomys bursarius',
'Geomys knoxjonesi',
'Geomys personatus',
'Geomys pinetis',
'Geomys texensis',
'Geomys tropicalis',
'Pappogeomys bulleri',
'Pappogeomys castanops',
'Pappogeomys tylorhinus',
'Thomomys bottae',
'Thomomys bulbivorus',
'Thomomys clusius',
'Thomomys mazama',
'Thomomys talpoides',
'Thomomys townsendii',
'Dipodomys californicus',
'Dipodomys compactus',
'Dipodomys deserti',
'Dipodomys elator',
'Dipodomys elephantinus',
'Dipodomys gravipes',
'Dipodomys heermanni',
'Dipodomys ingens',
'Dipodomys insularis',
'Dipodomys margaritae',
'Dipodomys microps',
'Dipodomys nelsoni',
'Dipodomys nitratoides',
'Dipodomys ordii',
'Dipodomys panamintinus',
'Dipodomys phillipsii',
'Dipodomys spectabilis',
'Dipodomys stephensi',
'Dipodomys venustus',
'Microdipodops megacephalus',
'Microdipodops pallidus',
'Heteromys gaumeri',
'Heteromys nelsoni',
'Heteromys oresterus',
'Liomys adspersus',
'Liomys irroratus',
'Liomys pictus',
'Liomys salvini',
'Liomys spectabilis',
'Chaetodipus arenarius',
'Chaetodipus artus',
'Chaetodipus baileyi',
'Chaetodipus eremicus',
'Chaetodipus fallax',
'Chaetodipus goldmani',
'Chaetodipus hispidus',
'Chaetodipus lineatus',
'Chaetodipus nelsoni',
'Chaetodipus penicillatus',
'Chaetodipus pernix',
'Chaetodipus spinatus',
'Perognathus alticolus',
'Perognathus fasciatus',
'Perognathus flavescens',
'Perognathus flavus',
'Perognathus inornatus',
'Perognathus merriami',
'Perognathus parvus',
'Napaeozapus insignis',
'Zapus hudsonius',
'Zapus princeps',
'Zapus trinotatus',
'Alticola argentatus',
'Alticola stoliczkanus',
'Alticola strelzovi',
'Arborimus longicaudus',
'Arborimus pomo',
'Clethrionomys californicus',
'Clethrionomys gapperi',
'Lagurus curtatus',
'Microtus breweri',
'Microtus cabrerae',
'Microtus californicus',
'Microtus canicaudus',
'Microtus chrotorrhinus',
'Microtus longicaudus',
'Microtus miurus',
'Microtus montanus',
'Microtus oaxacensis',
'Microtus ochrogaster',
'Microtus oregoni',
'Microtus pennsylvanicus',
'Microtus pinetorum',
'Microtus richardsoni',
'Microtus townsendii',
'Microtus umbrosus',
'Microtus xanthognathus',
'Neofiber alleni',
'Ondatra zibethicus',
'Phenacomys albipes',
'Phenacomys intermedius',
'Phenacomys ungava',
'Synaptomys cooperi',
'Phodopus campbelli',
'Phodopus roborovskii',
'Phodopus sungorus',
'Gerbillurus paeba',
'Gerbillurus setzeri',
'Gerbillurus tytonis',
'Gerbillurus vallinus',
'Meriones crassus',
'Meriones unguiculatus',
'Acomys russatus',
'Aethomys chrysophilus',
'Aethomys ineptus',
'Mus spicilegus',
'Mus spretus',
'Pseudomys higginsi',
'Rattus fuscipes',
'Rattus lutreolus',
'Vernaya fulva',
'Otomys angoniensis',
'Otomys irroratus',
'Tachyoryctes macrocephalus',
'Abrothrix xanthorhinus',
'Akodon cursor',
'Baiomys musculus',
'Baiomys taylori',
'Blarinomys breviceps',
'Deltamys kempi',
'Eligmodontia morgani',
'Holochilus sciureus',
'Irenomys tarsalis',
'Kunsia tomentosus',
'Loxodontomys micropus',
'Nectomys squamipes',
'Neotoma albigula',
'Neotoma alleni',
'Neotoma anthonyi',
'Neotoma bryanti',
'Neotoma cinerea',
'Neotoma floridana',
'Neotoma fuscipes',
'Neotoma goldmani',
'Neotoma lepida',
'Neotoma magister',
'Neotoma martinensis',
'Neotoma mexicana',
'Neotoma micropus',
'Neotoma phenax',
'Neotoma stephensi',
'Neusticomys monticolus',
'Nyctomys sumichrasti',
'Ochrotomys nuttalli',
'Onychomys leucogaster',
'Onychomys torridus',
'Oryzomys nelsoni',
'Oryzomys palustris',
'Otonyctomys hatti',
'Ototylomys phyllotis',
'Peromyscus alstoni',
'Peromyscus attwateri',
'Peromyscus aztecus',
'Peromyscus boylii',
'Peromyscus bullatus',
'Peromyscus californicus',
'Peromyscus caniceps',
'Peromyscus crinitus',
'Peromyscus dickeyi',
'Peromyscus difficilis',
'Peromyscus eremicus',
'Peromyscus eva',
'Peromyscus furvus',
'Peromyscus gossypinus',
'Peromyscus guardia',
'Peromyscus hooperi',
'Peromyscus leucopus',
'Peromyscus levipes',
'Peromyscus madrensis',
'Peromyscus melanocarpus',
'Peromyscus melanotis',
'Peromyscus mexicanus',
'Peromyscus pectoralis',
'Peromyscus pembertoni',
'Peromyscus perfulvus',
'Peromyscus pseudocrinitus',
'Peromyscus schmidlyi',
'Peromyscus sejugis',
'Peromyscus simulus',
'Peromyscus slevini',
'Peromyscus spicilegus',
'Peromyscus stirtoni',
'Peromyscus truei',
'Peromyscus winkelmanni',
'Peromyscus yucatanicus',
'Peromyscus zarhynchus',
'Phyllotis xanthopygus',
'Podomys floridanus',
'Reithrodon auritus',
'Reithrodontomys brevirostris',
'Reithrodontomys creper',
'Reithrodontomys fulvescens',
'Reithrodontomys gracilis',
'Reithrodontomys humulis',
'Reithrodontomys megalotis',
'Reithrodontomys montanus',
'Reithrodontomys paradoxus',
'Reithrodontomys raviventris',
'Reithrodontomys spectabilis',
'Reithrodontomys tenuirostris',
'Sigmodon alleni',
'Sigmodon arizonae',
'Sigmodon fulviventer',
'Sigmodon hispidus',
'Sigmodon leucotis',
'Sigmodon ochrognathus',
'Xenomys nelsoni',
'Bathyergus suillus',
'Cryptomys damarensis',
'Georychus capensis',
'Heterocephalus glaber',
'Myocastor coypus',
'Geocapromys brownii',
'Geocapromys thoracatus',
'Dactylomys boliviensis',
'Proechimys albispinus',
'Proechimys dimidiatus',
'Proechimys iheringi',
'Thrichomys apereoides',
'Octodon degus',
'Octodon mimax',
'Spalacopus cyanus',
'Tympanoctomys barrerae',
'Ctenomys mendocinus',
'Ctenomys talarum',
'Agouti paca',
'Dasyprocta ruatanica',
'Hydrochoerus hydrochaeris',
'Microcavia australis',
'Dolichotis patagonum',
'Dinomys branickii',
'Chinchilla laniger',
'Lagostomus maximus',
'Erethizon dorsatum',
'Hystrix africaeaustralis',
'Abrocoma schistacea',
'Ochotona collaris',
'Ochotona princeps',
'Brachylagus idahoensis',
'Lepus alleni',
'Lepus arcticus',
'Lepus californicus',
'Lepus callotis',
'Lepus flavigularis',
'Lepus insularis',
'Lepus othus',
'Lepus timidus',
'Lepus townsendii',
'Pentalagus furnessi',
'Romerolagus diazi',
'Sylvilagus aquaticus',
'Sylvilagus audubonii',
'Sylvilagus bachmani',
'Sylvilagus cunicularius',
'Sylvilagus floridanus',
'Sylvilagus graysoni',
'Sylvilagus insonus',
'Sylvilagus mansuetus',
'Sylvilagus nuttallii',
'Sylvilagus palustris',
'Sylvilagus transitionalis',
'Elephantulus rufescens',
'Petrodromus tetradactylus',
'Rhynchocyon chrysopygus',
